client_num,customer_age,gender,dependent_count,education_level,marital_status,state_cd,zipcode,car_owner,house_owner,personal_loan,contact,customer_job,income,cust_satisfaction_score,card_category,annual_fees,activation_30_days,customer_acq_cost,week_start_date,week_num,qtr,current_year,credit_limit,total_revolving_bal,total_trans_amt,total_trans_vol,avg_utilization_ratio,use_chip,exp_type,interest_earned,delinquent_acc
708082083,24.00,F,1.00,Uneducated,Single,FL,91750,no,yes,no,unknown,Businessman,"202,326.00",3.00,Blue,200.00,0.00,87.00,1/1/2023,Week-1,Q1,2023,"3,544.00","1,661.00","15,149.00",111.00,0.469,Chip,Travel,"4,393.21",0.00
708083283,62.00,F,0.00,Unknown,Married,NJ,91750,no,no,no,cellular,Selfemployeed,"5,225.00",2.00,Blue,445.00,1.00,108.00,1/1/2023,Week-1,Q1,2023,"3,421.00","2,517.00",992.00,21.00,0.736,Swipe,Entertainment,69.44,0.00
708084558,32.00,F,1.00,Unknown,Married,NJ,91750,yes,no,no,unknown,Selfemployeed,"14,235.00",2.00,Blue,140.00,0.00,106.00,1/1/2023,Week-1,Q1,2023,"8,258.00","1,771.00","1,447.00",23.00,0.214,Chip,Bills,202.58,0.00
708085458,38.00,M,2.00,Uneducated,Single,NY,91750,no,no,no,cellular,Blue-collar,"45,683.00",1.00,Blue,250.00,1.00,150.00,1/1/2023,Week-1,Q1,2023,"1,438.30",0.00,"3,940.00",82.00,0,Online,Grocery,236.40,0.00
708086958,48.00,M,4.00,Graduate,Single,TX,91750,yes,yes,no,cellular,Businessman,"59,279.00",1.00,Blue,320.00,1.00,106.00,1/1/2023,Week-1,Q1,2023,"3,128.00",749.00,"4,369.00",59.00,0.239,Swipe,Fuel,"1,004.87",1.00
708095133,33.00,F,1.00,High School,Single,NY,91750,no,yes,no,cellular,Selfemployeed,"14,254.00",3.00,Blue,100.00,0.00,94.00,1/1/2023,Week-1,Q1,2023,"33,304.00","1,833.00","1,448.00",29.00,0.055,Swipe,Bills,275.12,0.00
708098133,34.00,F,3.00,Graduate,Single,CA,91750,yes,no,no,telephone,Selfemployeed,"14,975.00",2.00,Blue,225.00,1.00,75.00,1/1/2023,Week-1,Q1,2023,"2,834.00","1,418.00","1,598.00",39.00,0.5,Swipe,Bills,159.80,1.00
708099183,34.00,F,2.00,Uneducated,Single,CA,91750,no,no,no,cellular,Retirees,"31,982.00",2.00,Blue,400.00,1.00,75.00,1/1/2023,Week-1,Q1,2023,"5,723.00","1,873.00","2,732.00",63.00,0.327,Swipe,Grocery,409.80,0.00
708100533,48.00,M,2.00,High School,Married,NJ,91750,yes,no,no,telephone,Businessman,"86,668.00",2.00,Blue,200.00,1.00,64.00,1/1/2023,Week-1,Q1,2023,"2,679.00","2,277.00","4,943.00",85.00,0.85,Chip,Food,988.60,0.00
708103608,53.00,F,1.00,Graduate,Married,NJ,91750,yes,yes,no,cellular,Businessman,"223,196.00",1.00,Platinum,95.00,1.00,80.00,1/1/2023,Week-1,Q1,2023,"11,898.00","2,517.00","15,798.00",128.00,0.212,Chip,Grocery,"3,791.52",0.00
708104658,31.00,F,0.00,Post-Graduate,Single,CA,91750,no,yes,no,telephone,Businessman,"33,625.00",2.00,Blue,455.00,1.00,118.00,1/1/2023,Week-1,Q1,2023,"1,438.30",890.00,"2,928.00",48.00,0.619,Swipe,Fuel,732.00,0.00
708108333,34.00,F,4.00,Graduate,Single,NY,91750,no,no,no,cellular,Selfemployeed,"14,975.00",3.00,Blue,485.00,0.00,86.00,1/1/2023,Week-1,Q1,2023,"5,590.00",0.00,"1,507.00",32.00,0,Swipe,Entertainment,150.70,0.00
708112008,51.00,F,2.00,Graduate,Single,NJ,91750,yes,yes,no,cellular,Selfemployeed,"14,975.00",2.00,Blue,440.00,1.00,86.00,1/1/2023,Week-1,Q1,2023,"23,510.00","1,049.00","1,661.00",35.00,0.045,Swipe,Grocery,465.08,0.00
708113208,36.00,M,1.00,High School,Single,NJ,91750,yes,no,no,telephone,White-collar,"59,416.00",3.00,Blue,300.00,1.00,149.00,1/1/2023,Week-1,Q1,2023,"1,688.00",0.00,"4,375.00",69.00,0,Chip,Fuel,525.00,0.00
708117933,49.00,F,4.00,Graduate,Married,CA,91750,no,yes,no,unknown,Retirees,"28,122.00",1.00,Blue,360.00,0.00,70.00,1/1/2023,Week-1,Q1,2023,"1,880.00",0.00,"2,469.00",34.00,0,Chip,Bills,419.73,1.00
708119658,53.00,F,2.00,Graduate,Single,FL,91750,yes,no,no,cellular,Govt,"29,021.00",1.00,Blue,340.00,0.00,44.00,1/1/2023,Week-1,Q1,2023,"12,836.00","1,034.00","2,519.00",53.00,0.081,Swipe,Bills,554.18,0.00
708121908,49.00,F,1.00,Graduate,Married,TX,91750,no,no,no,unknown,Selfemployeed,"20,632.00",3.00,Blue,405.00,0.00,71.00,1/1/2023,Week-1,Q1,2023,"22,917.00",0.00,"2,045.00",45.00,0,Swipe,Grocery,265.85,0.00
708123033,47.00,F,5.00,Graduate,Married,FL,91750,no,no,no,cellular,Businessman,"172,101.00",2.00,Silver,355.00,0.00,78.00,1/1/2023,Week-1,Q1,2023,"11,463.00",0.00,"14,511.00",105.00,0,Swipe,Fuel,"3,047.31",0.00
708125733,43.00,F,4.00,Graduate,Single,FL,91750,no,no,no,cellular,Retirees,"57,168.00",2.00,Blue,220.00,0.00,69.00,1/1/2023,Week-1,Q1,2023,"1,438.30",0.00,"4,311.00",77.00,0,Swipe,Entertainment,"1,207.08",0.00
708128733,47.00,M,3.00,Graduate,Married,NY,91750,no,no,no,cellular,Govt,"89,954.00",2.00,Blue,125.00,1.00,105.00,1/1/2023,Week-1,Q1,2023,"1,814.00",0.00,"5,014.00",99.00,0,Swipe,Entertainment,"1,303.64",0.00
708129933,34.00,F,3.00,Uneducated,Single,TX,91750,yes,yes,yes,telephone,Blue-collar,"53,762.00",1.00,Blue,350.00,1.00,77.00,1/1/2023,Week-1,Q1,2023,"2,072.00","1,544.00","4,210.00",64.00,0.745,Chip,Entertainment,884.10,0.00
708132783,37.00,F,5.00,Unknown,Married,NJ,91750,yes,yes,no,cellular,Selfemployeed,"45,476.00",3.00,Blue,250.00,1.00,92.00,1/1/2023,Week-1,Q1,2023,"16,411.00","1,179.00","3,929.00",71.00,0.072,Swipe,Food,785.80,1.00
708134283,63.00,M,0.00,Graduate,Single,TX,91750,yes,yes,yes,cellular,Selfemployeed,"14,975.00",2.00,Blue,125.00,1.00,101.00,1/1/2023,Week-1,Q1,2023,"3,131.00",629.00,"1,483.00",31.00,0.201,Swipe,Food,311.43,0.00
708136908,55.00,M,2.00,Doctorate,Married,MO,91750,yes,yes,no,cellular,Retirees,"72,878.00",2.00,Blue,110.00,1.00,73.00,1/1/2023,Week-1,Q1,2023,"2,616.00",801.00,"4,655.00",68.00,0.306,Swipe,Entertainment,605.15,0.00
708139833,38.00,F,1.00,Unknown,Single,NY,91750,no,no,no,cellular,Businessman,"25,667.00",3.00,Blue,460.00,0.00,111.00,1/1/2023,Week-1,Q1,2023,"6,391.00",0.00,"2,323.00",44.00,0,Swipe,Grocery,441.37,0.00
708145908,40.00,M,3.00,Graduate,Single,MA,91750,no,yes,no,cellular,Blue-collar,"47,224.00",1.00,Blue,320.00,0.00,78.00,1/1/2023,Week-1,Q1,2023,"4,906.00","2,185.00","3,999.00",71.00,0.445,Swipe,Bills,959.76,0.00
708147108,55.00,F,0.00,Graduate,Single,NY,91750,yes,no,no,unknown,White-collar,"25,341.00",2.00,Blue,320.00,0.00,112.00,1/1/2023,Week-1,Q1,2023,"21,084.00","2,517.00","2,309.00",71.00,0.119,Swipe,Travel,277.08,0.00
708148158,33.00,M,2.00,Doctorate,Single,NY,91750,no,yes,yes,cellular,Blue-collar,"53,644.00",3.00,Blue,175.00,0.00,73.00,1/1/2023,Week-1,Q1,2023,"1,827.00",0.00,"4,207.00",86.00,0,Swipe,Fuel,925.54,0.00
708151008,54.00,F,1.00,Uneducated,Married,CA,91750,no,yes,no,cellular,Govt,"27,423.00",2.00,Blue,440.00,1.00,86.00,1/1/2023,Week-1,Q1,2023,"6,250.00",644.00,"2,433.00",41.00,0.103,Swipe,Fuel,486.60,0.00
708152358,46.00,M,3.00,Graduate,Married,NY,91750,yes,yes,no,cellular,Blue-collar,"110,014.00",2.00,Blue,335.00,1.00,101.00,1/1/2023,Week-1,Q1,2023,"18,512.00","1,664.00","8,019.00",57.00,0.09,Swipe,Food,721.71,0.00
708153558,44.00,M,4.00,Graduate,Unknown,IA,91750,no,no,no,telephone,Businessman,"109,186.00",3.00,Blue,375.00,0.00,150.00,1/1/2023,Week-1,Q1,2023,"34,516.00","1,802.00","7,936.00",101.00,0.052,Swipe,Fuel,634.88,0.00
708154833,40.00,F,3.00,Graduate,Married,NJ,91750,yes,yes,no,cellular,Govt,"25,835.00",2.00,Blue,250.00,0.00,82.00,1/1/2023,Week-1,Q1,2023,"1,438.30",811.00,"2,336.00",46.00,0.564,Chip,Fuel,630.72,0.00
708155733,44.00,F,3.00,Graduate,Married,CA,91750,yes,yes,no,unknown,Selfemployeed,"11,345.00",2.00,Blue,335.00,0.00,88.00,1/1/2023,Week-1,Q1,2023,"14,734.00","1,634.00","1,289.00",23.00,0.111,Swipe,Bills,296.47,0.00
708158133,51.00,F,2.00,Uneducated,Single,NY,91750,yes,no,no,cellular,Selfemployeed,"23,215.00",2.00,Blue,110.00,1.00,131.00,1/1/2023,Week-1,Q1,2023,"3,031.00","2,517.00","2,188.00",50.00,0.83,Swipe,Bills,350.08,1.00
708160008,60.00,M,0.00,Graduate,Single,CA,91750,no,no,no,cellular,Businessman,"103,581.00",3.00,Blue,375.00,1.00,96.00,1/1/2023,Week-1,Q1,2023,"34,516.00","1,058.00","7,412.00",84.00,0.031,Swipe,Bills,"1,927.12",0.00
708161133,49.00,F,2.00,Unknown,Single,TX,91750,yes,yes,no,cellular,Selfemployeed,"44,555.00",3.00,Blue,150.00,1.00,99.00,1/1/2023,Week-1,Q1,2023,"6,629.00","1,389.00","3,891.00",69.00,0.21,Swipe,Fuel,466.92,0.00
708162558,43.00,F,5.00,Graduate,Married,TX,91750,no,yes,no,cellular,Selfemployeed,"12,381.00",2.00,Blue,420.00,0.00,88.00,1/1/2023,Week-1,Q1,2023,"3,250.00","1,992.00","1,355.00",36.00,0.613,Swipe,Entertainment,189.70,1.00
708163758,54.00,M,1.00,Graduate,Single,NY,91750,no,yes,no,unknown,White-collar,"123,809.00",1.00,Platinum,470.00,0.00,158.00,1/1/2023,Week-1,Q1,2023,"34,516.00",638.00,"13,085.00",139.00,0.018,Swipe,Bills,"2,355.30",0.00
708170508,32.00,F,0.00,Graduate,Married,FL,91750,yes,no,no,unknown,Selfemployeed,"14,975.00",1.00,Blue,250.00,0.00,72.00,1/1/2023,Week-1,Q1,2023,"1,438.30",0.00,"1,651.00",42.00,0,Swipe,Entertainment,462.28,0.00
708171858,52.00,F,3.00,Graduate,Married,NY,91750,no,yes,no,unknown,Businessman,"30,586.00",1.00,Blue,100.00,1.00,104.00,1/1/2023,Week-1,Q1,2023,"1,864.00","1,081.00","2,607.00",44.00,0.58,Swipe,Fuel,312.84,0.00
